2	2022-05-20 11:13:48	1	1	15
2	2022-05-20 11:13:51	1	1	15
2	2022-05-20 11:13:57	1	1	15
1	2022-05-20 13:06:20	1	0	3
842	2022-05-20 13:45:13	1	1	1
842	2022-05-20 13:45:25	1	1	15
842	2022-05-20 13:49:26	1	1	1
842	2022-05-20 13:49:30	1	1	15
837	2022-05-20 13:51:50	1	1	15
837	2022-05-20 13:51:53	1	1	15
837	2022-05-20 13:51:56	1	1	15
870	2022-05-20 13:53:09	1	1	15
870	2022-05-20 13:53:12	1	1	15
20	2022-05-20 14:04:38	1	1	15
20	2022-05-20 14:04:40	1	1	15
840	2022-05-20 14:08:11	1	1	15
865	2022-05-20 16:01:39	1	1	15
865	2022-05-20 16:01:42	1	1	15
865	2022-05-20 16:02:07	1	1	15
143	2022-05-20 18:14:45	1	1	15
143	2022-05-20 18:15:00	1	1	15
143	2022-05-20 18:15:09	1	1	1
870	2022-05-20 20:33:44	1	1	15
870	2022-05-20 20:33:46	1	1	15
870	2022-05-20 20:33:48	1	1	15
837	2022-05-20 22:05:39	1	1	15
837	2022-05-20 22:05:41	1	1	15
840	2022-05-21 05:56:00	1	1	15
840	2022-05-21 05:56:10	1	1	1
893	2022-05-21 07:02:27	1	1	15
893	2022-05-21 07:02:30	1	1	1
893	2022-05-21 07:02:31	1	1	15
893	2022-05-21 07:02:34	1	1	15
865	2022-05-21 07:41:14	1	1	15
865	2022-05-21 07:41:17	1	1	15
865	2022-05-21 07:41:32	1	1	1
865	2022-05-21 07:41:34	1	1	15
865	2022-05-21 07:41:36	1	1	15
844	2022-05-21 07:56:26	1	1	1
845	2022-05-21 07:57:58	1	1	1
885	2022-05-21 08:24:43	1	1	15
885	2022-05-21 08:24:46	1	1	15
877	2022-05-21 08:25:59	1	1	15
134	2022-05-21 08:29:35	1	1	15
893	2022-05-21 09:22:26	1	1	15
840	2022-05-21 09:24:39	1	1	15
893	2022-05-21 12:03:44	1	1	15
893	2022-05-21 12:03:48	1	1	15
893	2022-05-21 12:03:50	1	1	1
893	2022-05-21 12:03:52	1	1	15
837	2022-05-21 13:52:16	1	1	15
837	2022-05-21 13:52:18	1	1	15
873	2022-05-21 14:01:45	1	1	1
873	2022-05-21 14:01:55	1	1	15
873	2022-05-21 14:01:57	1	1	15
863	2022-05-21 14:02:03	1	1	15
873	2022-05-21 14:02:05	1	1	1
863	2022-05-21 14:02:10	1	1	15
863	2022-05-21 14:02:13	1	1	15
873	2022-05-21 14:02:44	1	1	15
887	2022-05-21 14:02:56	1	1	15
887	2022-05-21 14:02:58	1	1	15
873	2022-05-21 14:03:52	1	1	15
873	2022-05-21 14:03:54	1	1	15
852	2022-05-21 14:04:00	1	1	1
896	2022-05-21 14:04:06	1	1	15
896	2022-05-21 14:04:09	1	1	15
876	2022-05-21 14:04:12	1	1	1
902	2022-05-21 14:04:25	1	1	1
871	2022-05-21 14:04:38	1	1	15
871	2022-05-21 14:04:41	1	1	15
883	2022-05-21 14:05:20	1	1	1
